"X","hotel_name","clean_score","location_score","service_score","room_score","money_score","food_score","transport_score","facilities_score","culture_score","joy_score","Hotel_Address","Average_Score","Total_Number_of_Reviews","lat","lng","country","id"
"758","Hotel Roemer Amsterdam",0.236220472440945,0.0866141732283465,0.015748031496063,0.307086614173228,0.0393700787401575,0.149606299212598,0,0,0.0078740157480315,0.031496062992126,"Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands",8.3,974,52.3617577,4.8780052,"Netherlands",1222
"759","Hotel Romana Residence",0.151832460732984,0.0209424083769634,0.0104712041884817,0.162303664921466,0.0890052356020942,0.267015706806283,0.031413612565445,0.0157068062827225,0,0.0366492146596859,"Corso di Porta Romana 64 Milan City Center 20122 Milan Italy",7.8,2241,45.4572218,9.1937008,"Italy",880
"760","Hotel Ronda Lesseps",0.08,0,0,0.16,0.08,0.16,0,0,0,0.04,"Ballester 77 81 Gr cia 08023 Barcelona Spain",7.4,867,41.408641,2.1478143,"Spain",825
"761","Hotel Royal",0.0898876404494382,0.101123595505618,0.0224719101123595,0.101123595505618,0.0337078651685393,0.438202247191011,0.0337078651685393,0,0,0.0449438202247191,"Singerstra e 3 01 Innere Stadt 1010 Vienna Austria",8.6,840,48.2078727,16.3724042,"Austria",1272
"762","Hotel Royal Elys es",0.0526315789473684,0,0,0.105263157894737,0,0,0.0526315789473684,0,0,0.157894736842105,"6 Avenue Victor Hugo 16th arr 75116 Paris France",7,251,48.8729666,2.2926226,"France",616
"763","Hotel Sacher Wien",0.0649350649350649,0.220779220779221,0.038961038961039,0.0649350649350649,0.038961038961039,0.285714285714286,0.025974025974026,0,0.012987012987013,0.012987012987013,"Philharmoniker Stra e 4 01 Innere Stadt 1010 Vienna Austria",9.5,632,48.2038793,16.3698086,"Austria",1151
"764","Hotel Saint Dominique",0.134615384615385,0.0961538461538462,0,0.192307692307692,0.0384615384615385,0.173076923076923,0.0384615384615385,0.0192307692307692,0,0.0384615384615385,"62 Rue Saint Dominique 7th arr 75007 Paris France",8.7,516,48.8599998,2.3087425,"France",645
"765","Hotel Saint Petersbourg Opera",0.232142857142857,0.0952380952380952,0.0297619047619048,0.154761904761905,0.0595238095238095,0.178571428571429,0.0476190476190476,0,0.00595238095238095,0.0535714285714286,"35 Rue Caumartin 9th arr 75009 Paris France",8.9,2412,48.872174,2.328075,"France",457
"766","Hotel Sanpi Milano",0.225,0.075,0.025,0.1,0.0125,0.5125,0.0625,0.0125,0.0125,0.0125,"Via Lazzaro Palazzi 18 Central Station 20124 Milan Italy",8.5,904,45.4777623,9.203169,"Italy",1356
"767","Hotel Sans Souci Wien",0.0956521739130435,0.0956521739130435,0.0260869565217391,0.173913043478261,0.0608695652173913,0.495652173913044,0.0782608695652174,0.0173913043478261,0,0.0347826086956522,"Burggasse 2 07 Neubau 1070 Vienna Austria",9.4,824,48.204576,16.3563661,"Austria",847
